time,0,1,2,3,4,5,6,7,8
 0 min,0.0406718,0,0.413064,0,0,0.00138643,0.00303524,0.00367097,0.0046512
 10 min,0.0567852,0,0.390203,0,0,0,0.00257887,0.0132774,0.00377243
 20 min,0.0255524,0,0.260238,0,0,0.00985199,0.00600264,7.75E-5,0.00206049
 30 min,0.0579044,0.0444125,0.120747,0,0.0238646,0.0321308,0.00311037,0.0400881,0.0140593
 40 min,0.0593844,0,0.0309198,0,0.0182304,0.0568237,0.0167436,0.0518241,0.0157667
 50 min,0.0338126,0.0719234,0.0492453,0,0.0150998,0.0282134,0.00640228,0.032425,0.0541578
 60 min,0.0559448,0.148853,0.0329107,0,0.017128,0.0194835,0.00377102,0.0206816,0.0332158
 70 min,0.0324895,0.101882,0.0815008,0,0.0272923,0.0410931,0.00477249,0.0364532,0.0258508
 80 min,0.0433972,0.0398103,0.046087,0,0.0241469,0.0534342,0.00580261,0.0388272,0.0376569
 90 min,0.0447601,0,0.535183,0,0,0.00536629,0,0.0115783,0.00157761
 100 min,0.037609,0,0.413236,0.00785995,0,0.00939095,0,0.0116471,0.00418518
 110 min,0.0542943,0,0.574933,0,0,0.0074234,0,0.00561287,0.0120004
