time,0,1,2,3,4,5,6,7,8
 0 min,0,0,0,0,0,0.00366894,0.00253796,0,0.00322114
 10 min,0,0,0,0,0,0.00446681,0.00336453,0,0.00404838
 20 min,0,0,0,0,0,0.00302668,0.00350405,0,0.00438501
 30 min,0,0,0,0,0,0.00261875,0.00146028,0,0.00444508
 40 min,0,0,0,0,0,0.00620595,0.00122435,0,0.00592657
 50 min,0,0.000484829,0,0,0,0.00684384,0.0011007,0,0.00363742
 60 min,0,0.000466549,0,0,0,0.00672165,0.00138341,0,0.00569247
 70 min,0,0,0,0,0,0.00490965,0.00450704,0,0.00325958
 80 min,0,0,0,0,0,0.00598411,0.00242095,0,0.00314809
 90 min,0,0.000166443,0,0,0,0.0041046,0.00215255,0,0.0022767
 100 min,0,0,0,0,0,0.00306481,0.00316129,0,0.00527954
 110 min,0,0,0,0,0,0.00572027,0.00247411,0,0.00365527
 120 min,0,0,0,0,0,0.00547914,0.00292296,0,0.00269321
 130 min,0,0,0,0,0,0.0034023,0.000693405,0,0.00357896
 140 min,0,0.00184421,0,0,0,0.00503781,0.00205067,0,0.00380476
 150 min,0,0,0,0,0,0.00482588,0.00311424,0,0.00229645
 160 min,0,0,0,0,0,0.0042579,0.00200238,0,0.00584799
 170 min,0,0,0,0,0,0.00309555,0.00223279,0,0.00456967
 180 min,0,0,0,0,0,0.00341635,0.0019951,0,0.00130779
 190 min,0,0,0,0,0,0.00415315,0.00181058,0,0.00243773
 200 min,0,0.00661694,0,0,0,0.00518813,0.00142021,0,0.0013784
 210 min,0,0.00264955,0,0,0,0.00636778,0.00505731,0,0.00486392
 220 min,0,0.0112409,0,0,0,0.00456294,0.00134821,0,0.00491856
 230 min,0,0.00655789,0,0,0,0.00608723,0.00300636,0,0.00722087
 240 min,0,0,0,0,0,0.00436014,0.00181337,0,0.00303902
 250 min,0,0.00610042,0,0,0,0.0059417,0.0027505,0,0.00204979
 260 min,0,0.000543976,0,0,0,0.00566806,0.00325146,0,0.00368323
 270 min,0,0.00427362,0,0,0,0.00430957,0.00211612,0,0.00305127
 280 min,0,0.00316892,0,0,0,0.00503467,0.00279474,0,0.00108539
 290 min,0,0.0134199,0,0,0,0.00551022,0.00152136,0,0.00327228
 300 min,0,0.00211908,0,0,0,0.00753894,0.00236386,0,0.0029447
 310 min,0,0,0,0,0,0.00457401,0.00181531,0,0.00516327
 320 min,0,0,0,0,0,0.00352853,0.00261417,0,0.00494623
 330 min,0,0.00947751,0,0,0,0.0061012,0.001944,0,0.0022092
 340 min,0,0.00651724,0,0,0,0.00266428,0.00322556,0,0.00679691
 350 min,0,0.00924856,0,0,0,0.00524213,0.00249963,0,0.00321741
 360 min,0,0.00957675,0,0,0,0.00477695,0.00285165,0,0.00369684
 370 min,0,0.01,0,0,0,0.00591104,0.00210651,0,0.00114902
 380 min,0,0.01,0,0,0,0.00622903,0.00352164,0,0.00478705
 390 min,0,0.01,0,0,0,0.00493182,0.00251349,0,0.00532831
 400 min,0,0.0100263,0,0,0,0.0046579,0.00326727,0,0.00161014
 410 min,0,0.01,0,0,0,0.00660241,0.00187598,0,0.00666693
 420 min,0,0.0109679,0,0,0,0.00524045,0.00165625,0,0.00468268
 430 min,0,0.0192379,0,0,0,0.00596976,0.00262585,0,0.0072952
 440 min,0,0.0073324,0,0,0,0.00553107,0.00290912,0,0.00377698
 450 min,0,0.000953003,0,0,0,0.00680808,3.70483E-5,0,0.00606027
 460 min,0,0,0,0,0,0.0133861,0,0,0.00407657
 470 min,0,0.00673947,0,0,0,0.00581787,0,0,0.00244168
