Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min
Utilization,0,0.0406718,0.0567852,0.0255524,0.0579044,0.0593844,0.0338126,0.0559448,0.0324895,0.0433972,0.0447601,0.037609,0.0542943
, ,0.0201352,0.0422215,0.0204991,0.0255973,0.0424018,0.0227476,0.0475777,0.0218478,0.0348496,0.0370419,0.026756,0.0404283
,1,0,0,0,0.0444125,0,0.0719234,0.148853,0.101882,0.0398103,0,0,0
, ,0,0,0,0.102781,0,0.216079,0.334003,0.302751,0.125891,0,0,0
,2,0.413064,0.390203,0.260238,0.120747,0.0309198,0.0492453,0.0329107,0.0815008,0.046087,0.535183,0.413236,0.574933
, ,0.183351,0.133777,0.206087,0.118727,0.0713904,0.138734,0.0652765,0.124621,0.0914041,0.156635,0.20921,0.10233
,3,0,0,0,0,0,0,0,0,0,0,0.00785995,0
, ,0,0,0,0,0,0,0,0,0,0,0.0248554,0
,4,0,0,0,0.0238646,0.0182304,0.0150998,0.017128,0.0272923,0.0241469,0,0,0
, ,0,0,0,0.0274361,0.0197357,0.0280873,0.0250732,0.0234698,0.0311141,0,0,0
,5,0.00138643,0,0.00985199,0.0321308,0.0568237,0.0282134,0.0194835,0.0410931,0.0534342,0.00536629,0.00939095,0.0074234
, ,0.00438427,0,0.0187031,0.0356205,0.0565837,0.0327779,0.0211746,0.0305759,0.0509351,0.00967787,0.0124338,0.0157583
,6,0.00303524,0.00257887,0.00600264,0.00311037,0.0167436,0.00640228,0.00377102,0.00477249,0.00580261,0,0,0
, ,0.00670206,0.00547954,0.008868,0.00562943,0.0308667,0.0100264,0.00393354,0.00895202,0.00768333,0,0,0
,7,0.00367097,0.0132774,7.75E-05,0.0400881,0.0518241,0.032425,0.0206816,0.0364532,0.0388272,0.0115783,0.0116471,0.00561287
, ,0.00669516,0.0194422,0.000167384,0.0249667,0.0239654,0.0352868,0.0207998,0.0245155,0.0304989,0.00817224,0.0173019,0.0104492
,8,0.0046512,0.00377243,0.00206049,0.0140593,0.0157667,0.0541578,0.0332158,0.0258508,0.0376569,0.00157761,0.00418518,0.0120004
, ,0.00790293,0.0119295,0.0049714,0.0242749,0.0328424,0.0581343,0.0536308,0.0381253,0.0426816,0.00498883,0.0120961,0.0356278
,Sum,0.045323,0.06055763,0.02761289,0.0719637,0.0751511,0.0879704,0.0891606,0.0583403,0.0810541,0.04633771,0.04179418,0.0662947
Service Time,0,0.406718,0.567852,0.255524,0.579044,0.593844,0.338126,0.559448,0.324895,0.433972,0.447601,0.37609,0.542943
, ,0.201352,0.422215,0.204991,0.255973,0.424018,0.227476,0.475777,0.218478,0.348496,0.370419,0.26756,0.404283
,1,0,0,0,0.444125,0,0.719234,1.48853,1.01882,0.398103,0,0,0
, ,0,0,0,1.02781,0,2.16079,3.34003,3.02751,1.25891,0,0,0
,2,4.13064,3.90203,2.60238,1.20747,0.309198,0.492453,0.329107,0.815008,0.46087,5.35183,4.13236,5.74933
, ,1.83351,1.33777,2.06087,1.18727,0.713904,1.38734,0.652766,1.24621,0.914041,1.56635,2.0921,1.0233
,3,0,0,0,0,0,0,0,0,0,0,0.0785996,0
, ,0,0,0,0,0,0,0,0,0,0,0.248554,0
,4,0,0,0,0.238646,0.182304,0.150998,0.17128,0.272923,0.241469,0,0,0
, ,0,0,0,0.274361,0.197357,0.280873,0.250732,0.234698,0.311141,0,0,0
,5,0.0138643,0,0.0985199,0.321308,0.568237,0.282134,0.194835,0.410931,0.534342,0.0536629,0.0939095,0.074234
, ,0.0438427,0,0.187031,0.356205,0.565836,0.327779,0.211746,0.305759,0.509351,0.0967787,0.124338,0.157583
,6,0.0303524,0.0257887,0.0600264,0.0311037,0.167436,0.0640228,0.0377102,0.0477249,0.0580261,0,0,0
, ,0.0670206,0.0547954,0.08868,0.0562943,0.308667,0.100264,0.0393354,0.0895202,0.0768333,0,0,0
,7,0.0367097,0.132774,0.000774765,0.400881,0.518241,0.32425,0.206816,0.364532,0.388272,0.115783,0.116471,0.0561287
, ,0.0669516,0.194422,0.00167384,0.249667,0.239654,0.352868,0.207998,0.245155,0.304989,0.0817224,0.173019,0.104492
,8,0.046512,0.0377243,0.0206049,0.140593,0.157667,0.541578,0.332158,0.258508,0.376569,0.0157761,0.0418518,0.120004
, ,0.0790293,0.119295,0.049714,0.242749,0.328424,0.581343,0.536308,0.381253,0.426816,0.0498883,0.120961,0.356278
Wait Time,0,0.0118705,0.0305542,0,0.124363,0.154284,0.039909,0.0917137,0.341557,21.7646,0.0280426,0.00817871,0.00593948
, ,0.0375378,0.0591661,0,0.217757,0.231939,0.110908,0.288211,0.786051,68.2057,0.0726071,0.0258634,0.0125421
,1,0,0,0,0,0,0,0.0120903,0.037973,0,0,0,0
, ,0,0,0,0,0,0,0.0382329,0.120081,0,0,0,0
,2,1.2988,0.967194,0.323034,0.344328,0.214127,0.0882072,0.113806,0.310121,1.96544,4.07552,1.66225,3.47095
, ,1.28467,0.698291,0.45122,0.767612,0.367396,0.215276,0.252115,0.496206,5.59999,2.61803,2.21672,1.41629
,3,0,0,0,0,0,0,0,0,0,0.529047,0.0432045,0.440222
, ,0,0,0,0,0,0,0,0,0,1.67299,0.136625,1.16372
,4,0,0,0,0,0,0,0,0.00654449,0.0135536,0,0,0
, ,0,0,0,0,0,0,0,0.0166512,0.0428603,0,0,0
,5,0,0,0.107218,0.00110912,0.0311653,0.00814552,0,0,0,0.168778,0.0936913,0.0476944
, ,0,0,0.309104,0.00350736,0.0985534,0.0257584,0,0,0,0.394768,0.296278,0.150823
,6,0,0.00605431,0,0,0.00098877,0,0,0,0,0,0,0
, ,0,0.0191454,0,0,0.00312676,0,0,0,0,0,0,0
,7,0.658127,0.232674,0.127139,0.546763,0.192617,0.140654,0.249201,1.02875,22.9806,0.00573196,0.015406,0.0159447
, ,1.25322,0.431461,0.322281,0.986587,0.190373,0.290506,0.529758,2.81754,72.0585,0.0181261,0.0487182,0.0504215
,8,0,0.265029,0,0,0,0.0790245,0,0.0327637,0,0,0,0.00291824
, ,0,0.838096,0,0,0,0.170599,0,0.103608,0,0,0,0.0092283
Number In,0,3.4,4.3,2.6,4.2,4.7,3.3,4.1,3.3,3.6,3.3,3.1,3.5
, ,1.42984,2.66875,1.83787,2.4404,2.54078,1.76698,1.85293,1.82878,1.83787,1.63639,2.18327,2.50555
,1,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0
, ,0,0,0,0.421637,0,0.421637,0.421637,0,0,0,0,0
,2,4.5,3.6,2.4,0.9,0.6,0.5,0.6,0.7,0.5,6.8,5.6,7.1
, ,2.17307,1.7127,1.64655,0.994429,0.699206,0.971825,0.843274,0.823273,0.527046,1.8738,2.71621,2.42441
,3,0,0,0,0,0,0,0,0,0,0.1,0.3,0.1
, ,0,0,0,0,0,0,0,0,0,0.316228,0.483046,0.316228
,4,0,0,0,0.9,0.5,0.4,0.6,0.9,1,0,0,0
, ,0,0,0,0.994429,0.527046,0.699206,0.699206,0.567646,1.05409,0,0,0
,5,0.1,0,0.4,1.1,1.7,1,0.6,1.4,1.6,0.2,0.4,0.4
, ,0.316228,0,0.516398,1.1005,1.82878,1.1547,0.699206,1.07497,1.26491,0.421637,0.516398,0.699206
,6,0.2,0.2,0.6,0.4,0.4,0.6,0.8,0.4,0.8,0,0,0
, ,0.421637,0.421637,0.516398,0.516398,0.516398,0.843274,0.632456,0.516398,0.788811,0,0,0
,7,0.9,1.1,0.6,3.9,4.6,3.6,3.5,4.4,3.5,1.3,0.8,0.8
, ,1.1005,0.994429,0.699206,1.44914,2.01108,1.95505,2.01384,1.64655,2.06828,0.674949,0.788811,0.918937
,8,0.3,0.2,0.1,1,0.6,1.4,0.7,0.9,1.1,0.1,0.2,0.2
, ,0.483046,0.632456,0.316228,0.816497,0.699206,1.26491,0.483046,1.1005,1.44914,0.316228,0.421637,0.421637
Number Out,0,3.4,4.3,2.6,3.9,4.4,3,3.2,2.6,3.2,3.3,3.1,3.4
, ,1.42984,2.66875,1.83787,2.33095,2.319,1.56347,2.04396,2.17051,1.68655,1.63639,2.18327,2.59058
