,Type 0,,Type 1,, Type 2,,Type 3,,Type 4,,Type 5,,Type 6,,Type 7,,Type 8,
 Time (min),Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev
0,0.0486895,0.012172375,0.0306357,0.007658925,0.0842099,0.021052475,0.0041177,0.001029425,0.0200548,0.0050137,0.0402914,0.01007285,0.00936969,0.002342423,0.0394859,0.009871475,0.0374859,0.009371475
10,0.0494953,0.012373825,0.0263052,0.0065763,0.0759441,0.018986025,0.00111096,0.00027774,0.0192773,0.004819325,0.0446414,0.01116035,0.00825973,0.002064933,0.0378075,0.009451875,0.0351595,0.008789875
20,0.0553814,0.01384535,0.0317612,0.0079403,0.0730978,0.01827445,0.00128641,0.000321603,0.0247444,0.0061861,0.0432367,0.010809175,0.00823594,0.002058985,0.041593,0.01039825,0.0250841,0.006271025
30,0.0533473,0.013336825,0.0388074,0.00970185,0.0749912,0.0187478,0.00207294,0.000518235,0.0202806,0.00507015,0.0499241,0.012481025,0.00734656,0.00183664,0.0453087,0.011327175,0.0360667,0.009016675
40,0.0507251,0.012681275,0.031485,0.00787125,0.0727642,0.01819105,0.00269457,0.000673643,0.0202494,0.00506235,0.0436813,0.010920325,0.007966,0.0019915,0.036849,0.00921225,0.0341873,0.008546825
50,0.0503718,0.01259295,0.0389689,0.009742225,0.0639194,0.01597985,0.00204741,0.000511853,0.021946,0.0054865,0.0441737,0.011043425,0.00881922,0.002204805,0.0353344,0.0088336,0.0310861,0.007771525
60,0.0491334,0.01228335,0.0447187,0.011179675,0.0830859,0.020771475,0.000393929,9.85E-05,0.0190891,0.004772275,0.0407422,0.01018555,0.0105336,0.0026334,0.0434073,0.010851825,0.03309,0.0082725
70,0.0448385,0.011209625,0.0569105,0.014227625,0.0739446,0.01848615,0.00181118,0.000452795,0.017745,0.00443625,0.0412494,0.01031235,0.00915606,0.002289015,0.0437445,0.010936125,0.0287397,0.007184925
80,0.0522184,0.0130546,0.0467141,0.011678525,0.0659577,0.016489425,0.000927139,0.000231785,0.0170383,0.004259575,0.0449977,0.011249425,0.0095434,0.00238585,0.0458026,0.01145065,0.0310748,0.0077687
90,0.0534737,0.013368425,0.0425751,0.010643775,0.0748278,0.01870695,0.0014077,0.000351925,0.023989,0.00599725,0.0352642,0.00881605,0.0109507,0.002737675,0.0400812,0.0100203,0.0341721,0.008543025
