Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min, 300 min, 310 min, 320 min, 330 min, 340 min, 350 min, 360 min, 370 min, 380 min, 390 min, 400 min, 410 min, 420 min, 430 min, 440 min, 450 min, 460 min, 470 min, Sum
Utilization, 0, 0.0738048, 0.171705, 0.0958038, 0.0168674, 0, 0.0454891, 0.0366241, 0.0196602, 0, 0, 0, 0.0409637, 0, 0, 0, 0.0609894, 0, 0.0142548, 0, 0.0276978, 0.001828, 0.0194183, 0, 0.0134735, 0, 0, 0, 0.0307953, 0.00465088, 0.0169617, 0.0307373, 0, 0.0199982, 0, 0.0341522, 0, 0, 0.0122223, 0.0272888, 0, 0, 0, 0, 0, 0, 0.0523041, 0.193314, 0.0970703, 1.15807
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.774094, 0.70209, 0.887994, 0.860861, 0.0718658, 0, 0, 0, 3.29691
, 2, 0.105543, 0, 0.0641161, 0.0271667, 0.111161, 0, 0, 0, 0, 0.0379379, 0, 0, 0, 0, 0.0840347, 0, 0, 0.137392, 0, 0.131247, 0.102167, 0, 0, 0, 0, 0.167661, 0.161664, 0, 0.0415405, 0, 0.139969, 0, 0.134381, 0, 0, 0, 0, 0.10383, 0, 0, 0, 0, 0, 0, 0, 0.196848, 0.272394, 0.106107, 2.12516
, 3, 0, 0, 0, 0.0362759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0362759
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0280212, 0, 0.0432449, 0, 0.0584503, 0, 0, 0.0225266, 0, 0, 0, 0, 0, 0.061261, 0, 0, 0, 0, 0, 0, 0.0473297, 0, 0.00992432, 0, 0, 0, 0, 0, 0.0378113, 0, 0, 0, 0, 0, 0, 0, 0, 0.308569
, 5, 0, 0.0695161, 0, 0, 0.0502987, 0.206625, 0.0855873, 0.253885, 0, 0.225811, 0.462244, 0.168591, 0.501115, 0.130421, 0.189168, 0.112993, 0.0736252, 0, 0.232243, 0.198866, 0.177716, 0.124702, 0.468793, 0, 0.701138, 0.106714, 0, 0.28132, 0.0440247, 0, 0, 0.0738617, 0, 0.0594696, 0, 0.137582, 0.120392, 0, 0, 0, 0, 0.29791, 0.057666, 0.129266, 0.0701599, 0, 0, 0.119046, 5.93075
, 6, 0.0229746, 0.0577411, 0.0415415, 0.0538763, 0.0799294, 0.0476265, 0.0241848, 0.105358, 0, 0.0260567, 0.0252243, 0.0277512, 0.0567558, 0.0142212, 0.0627533, 0.0254334, 0.00889587, 0.0384033, 0.0459686, 0.096846, 0.0537109, 0.032132, 0.0119293, 0.022229, 0.0218704, 0.108429, 0.0424194, 0, 0.064032, 0.0224548, 0.103012, 0.0578217, 0, 0.0571503, 0.0387115, 0.00414429, 0.0231079, 0.108096, 0.0107697, 0.0859222, 0, 0, 0, 0, 0.0596649, 0.00799255, 0.0638611, 0.0274109, 1.88841
, 7, 0.0140299, 0, 0.0271303, 0.0369503, 0.0386318, 0.00780449, 0.114261, 0.0204582, 0.00460052, 0, 0, 0.108164, 0.00178375, 0.0500809, 0.00526123, 0.00700684, 0.00205231, 0, 0.0147995, 0.0301132, 0.0210907, 0.0232986, 0.00312958, 0.0189255, 0.0186417, 0.0235992, 0.0399353, 0.00288696, 0.0079071, 0.0645782, 0.0286682, 0, 0.0590057, 0, 0.00881958, 0.0112793, 0.0616364, 0.0119171, 0, 0.0266022, 0, 0, 0, 0, 0.0101105, 0.151068, 0.171997, 0.067157, 1.31538
, 8, 0, 0.0275165, 0.00764656, 0.0866551, 0.0478481, 0.0397762, 0.0447685, 0.0192703, 0, 0, 0.117789, 0, 0.00723038, 0.0981552, 0.0437088, 0.0280518, 0.0622345, 0.106285, 0.00928192, 0.109949, 0.0919983, 0, 0.16656, 0.0816437, 0.0117142, 0.261116, 0.134277, 0.192307, 0.0807098, 0.0147766, 0.0462555, 0.0155151, 0.0509583, 0.190598, 0.0618805, 0.0969055, 0.238153, 0.0430969, 0.0150543, 0.0603119, 0.121774, 0, 0.0543396, 0.00987244, 0.0403778, 0.126813, 0.0343628, 0.0561279, 3.15367
, Sum, 0.216352, 0.326478, 0.236238, 0.257792, 0.327869, 0.347321, 0.305426, 0.418632, 0.00460052, 0.289806, 0.605257, 0.373491, 0.566885, 0.336124, 0.384926, 0.292924, 0.146808, 0.296335, 0.32482, 0.594719, 0.448511, 0.199551, 0.650412, 0.136272, 0.814626, 0.667519, 0.378296, 0.507309, 0.242865, 0.118771, 0.348642, 0.194528, 0.264343, 0.317142, 0.143564, 0.249912, 0.443289, 0.279163, 0.0531128, 0.210648, 0.895868, 1, 1, 1, 0.252179, 0.535025, 0.735928, 0.472919, 19.2132
