Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min, 300 min, 310 min, 320 min, 330 min, 340 min, 350 min, 360 min, 370 min, 380 min, 390 min, 400 min, 410 min, 420 min, 430 min, 440 min, 450 min, 460 min, 470 min, Sum
Utilization, 0, 0.105999, 0.198088, 0.14192, 0.0432426, 0.00760231, 0.0221359, 0, 0, 0.00282822, 0, 0.00988312, 0.00273056, 0.0179085, 0.0297424, 0, 0, 0.0121323, 0, 0, 0, 0, 0, 0, 0, 0, 0.0174912, 0.0144226, 0.00947876, 0.0532837, 0, 0, 0.00679932, 0, 0.012262, 0.0244751, 0, 0.0225433, 0.069101, 0.0072876, 0, 0.00157166, 0.0192535, 0, 0, 0.00544434, 0.0540955, 0.158444, 0.132233, 1.2024
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0.0848995, 0.0265369, 0, 0, 0, 0, 0, 0.130695, 0, 0, 0, 0, 0, 0.130794, 0, 0.0475891, 0.146159, 0.235905, 0, 0, 0.0307724, 0, 0, 0.150114, 0, 0.126651, 0.058139, 0, 0, 0.241949, 0.0510681, 0.114841, 0, 0, 0, 0, 0, 0, 0.0095398, 0, 0, 0, 0, 0, 0.16756, 0.591125, 0.13284, 0.196158, 2.67334
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0.0262051, 0, 0, 0, 0, 0, 0, 0.0392586, 0, 0.0312027, 0.0461319, 0.0510178, 0, 0, 0, 0.0482635, 0, 0, 0, 0.00814514, 0, 0, 0, 0, 0, 0, 0, 0.000680542, 0, 0, 0.00471191, 0.00587769, 0, 0, 0, 0, 0, 0.0149994, 0.0630676, 0, 0.066333, 0, 0, 0, 0.405895
, 5, 0, 0.281927, 0, 0, 0, 0.464053, 0, 0, 0.222162, 0.194402, 0.222245, 0.0752548, 0, 0.132201, 0.0557022, 0, 0, 0, 0.127679, 0.101694, 0.0801514, 0, 0.281662, 0, 0.089653, 0, 0.149124, 0.182889, 0, 0, 0, 0.194153, 0.190442, 0, 0.00845642, 0.109763, 0.202228, 0.311975, 0, 0, 0.0753326, 0.126663, 0, 0.132556, 0, 0.0845856, 0.061853, 0, 4.1588
, 6, 0.112176, 0, 0.087035, 0.0410547, 0.0499859, 0.0444939, 0.0309639, 0, 0.0626747, 0.018885, 0.0235535, 0.00114517, 0.00487213, 0.222485, 0.0295135, 0.0213577, 0.017334, 0.0554001, 0.0195663, 0.0669281, 0.0317001, 0.024472, 0.0990738, 0.039389, 0.00127563, 0.124562, 0.0362244, 0.0240387, 0.0422302, 0.0187531, 0.00164795, 0.0315826, 0.0364868, 0.109351, 0.143903, 0.10517, 0.000320435, 0.00248718, 0.0229523, 0.0286774, 0.0120728, 0.0364258, 0.00411377, 0.0916107, 0.0335236, 0.058844, 0.0167572, 0.0684845, 2.15555
, 7, 0, 0, 0, 0.0158401, 0.00637856, 0, 0.0162384, 0, 0.0859978, 0.00259476, 0.010878, 0.0206032, 0.0237686, 0.0121918, 0.074826, 0.0824326, 0.0267517, 7.93457e-05, 0.0263702, 0.00603485, 0.0192093, 0.0258194, 0.00190125, 0.0125076, 0.00377502, 0.0305054, 0.0166107, 0, 0, 0.0460419, 0.0181183, 0.0499817, 0.0341126, 0.00491638, 0.0461578, 0, 0.0470612, 0.120227, 0.0136658, 0.0256927, 0.0251129, 0.0245209, 0, 0.0287476, 0.00257874, 0.0117004, 0.0461426, 0.109766, 1.17586
, 8, 0, 0, 0, 0, 0, 0.0236816, 0.0209339, 0.0316032, 0, 0.268435, 0.0181648, 0.0284973, 0.00394058, 0.0159393, 0.0494385, 0.0431992, 0.119276, 0.020137, 0.0761169, 0.0347549, 0.0304062, 0.00440369, 0.0391357, 0, 0.0678635, 0, 0.0903168, 0.0754303, 0.0342468, 0.0260712, 0.103299, 0.00909729, 0, 0.086972, 0.03927, 0, 0.0750763, 0, 0.000582886, 0.194559, 0.0550751, 0.0819916, 0.11951, 0.0313995, 0.0490021, 0.0800262, 0.163538, 0.0518097, 2.2632
, Sum, 0.303075, 0.506551, 0.228955, 0.100138, 0.0901718, 0.554365, 0.0681362, 0.162299, 0.373663, 0.484316, 0.284724, 0.16749, 0.0504898, 0.574556, 0.255612, 0.245596, 0.321654, 0.311522, 0.249733, 0.257675, 0.192239, 0.0546951, 0.421773, 0.210156, 0.162567, 0.29921, 0.364838, 0.291837, 0.129761, 0.332816, 0.174133, 0.407135, 0.261041, 0.213501, 0.266974, 0.22081, 0.347229, 0.50379, 0.0540283, 0.248929, 0.169165, 0.303854, 0.186691, 0.284314, 0.324442, 0.880377, 0.579575, 0.55845, 14.0351
Service Time, 0, 1.05999, 1.98088, 1.4192, 0.432426, 0.0760231, 0.221359, 0, 0, 0.0282822, 0, 0.0988312, 0.0273056, 0.179085, 0.297424, 0, 0, 0.121323, 0, 0, 0, 0, 0, 0, 0, 0, 0.174911, 0.144226, 0.0947876, 0.532837, 0, 0, 0.0679932, 0, 0.12262, 0.244751, 0, 0.225433, 0.69101, 0.072876, 0, 0.0157166, 0.192535, 0, 0, 0.0544434, 0.540955, 1.58444, 1.32233, 12.024
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0.848995, 0.265369, 0, 0, 0, 0, 0, 1.30695, 0, 0, 0, 0, 0, 1.30794, 0, 0.475891, 1.46159, 2.35905, 0, 0, 0.307724, 0, 0, 1.50114, 0, 1.26651, 0.58139, 0, 0, 2.41949, 0.510681, 1.14841, 0, 0, 0, 0, 0, 0, 0.0953979, 0, 0, 0, 0, 0, 1.6756, 5.91125, 1.3284, 1.96158, 26.7334
