time,Communicating,Exception Handling,Paperwork,Maintenance of Way,Temporary Speed Restrictions,Signal Response Management,Monitoring Inside,Monitoring Outside,Planning Ahead
 0 min,0,0,0,0,0,0.00338621,0.00304029,0,0.00962413
 10 min,0,0,0,0,0,0.00418222,0.00369081,0,0.0123292
 20 min,0,0,0,0,0,0.00367266,0.00371048,0,0.0181073
 30 min,0,0,0,0,0,0.00358243,0.00147652,0,0.00287047
 40 min,0,0,0,0,0,0.00397156,0.00296368,0,0.00407317
 50 min,0,0.00205875,0,0,0,0.00566251,0.00177084,0,0.00182631
 60 min,0,0.00515675,0,0,0,0.00478944,0.00157754,0,0.00033963
 70 min,0,0.00250986,0,0,0,0.00481586,0.00271288,0,0.00236148
 80 min,0,0.00113306,0,0,0,0.00492697,0.00245318,0,0.00621171
 90 min,0,0.00290106,0,0,0,0.00380915,0.00178172,0,0.00547332
 100 min,0,0.0108613,0,0,0,0.00458333,0.00222703,0,0.00116335
 110 min,0,0.00628373,0,0,0,0.0041383,0.00246134,0,0.00219745
 120 min,0,0.0052117,0,0,0,0.00448969,0.00189503,0,0.00245945
 130 min,0,0.00420755,0,0,0,0.00625096,0.00245196,0,0.00443324
 140 min,0,0,0,0,0,0.00558384,0.00221278,0,0.00143253
 150 min,0,0.00418245,0,0,0,0.00408414,0.00227222,0,0.00406286
 160 min,0,0.005,0,0,0,0.00596376,0.00151811,0,0.00190727
 170 min,0,0.00487127,0,0,0,0.00511273,0.00360702,0,0.00477476
 180 min,0,0.00387429,0,0,0,0.00523385,0.00249351,0,0.00393928
 190 min,0,0.00549536,0,0,0,0.00468639,0.002907,0,0
 200 min,0,0.00595261,0,0,0,0.00489817,0.00187746,0,0.00278513
 210 min,0,0.00133733,0,0,0,0.00515188,0.00181926,0,0.0040779
 220 min,0,0.0046871,0,0,0,0.0052772,0.00235714,0,0.00334904
 230 min,0,0.0061097,0,0,0,0.00477624,0.00238535,0,0.00444243
 240 min,0,0.005,0,0,0,0.00398246,0.00183401,0,0.00738944
 250 min,0,0.00273973,0,0,0,0.00691789,0.00209272,0,0.00934931
 260 min,0,0.00550704,0,0,0,0.00559187,0.00281592,0,0.0104046
 270 min,0,0.00993445,0,0,0,0.00433128,0.0022375,0,0.00427741
 280 min,0,0.00528713,0,0,0,0.00642439,0.00295378,0,0.00438826
 290 min,0,0.00027919,0,0,0,0.00568085,0.00207365,0,0.0084254
 300 min,0,0.00294066,0,0,0,0.00627068,0.00246652,0,0.00386809
 310 min,0,0.00806236,0,0,0,0.00453369,0.00287859,0,0.00155551
 320 min,0,0.00377377,0,0,0,0.00524884,0.00391109,0,0.00485286
 330 min,0,0,0,0,0,0.00513161,0.00197865,0,0.00454289
 340 min,0,0.000840454,0,0,0,0.00409929,0.00248521,0,0.00495166
 350 min,0,0.00161389,0,0,0,0.00531323,0.00144644,0,9.89227E-5
 360 min,0,0.00633882,0,0,0,0.00362477,0.00169553,0,0.00393777
 370 min,0,0.0118724,0,0,0,0.00571384,0.00292455,0,0.00270955
 380 min,0,0.0118037,0,0,0,0.00490746,0.00300067,0,0.00685983
 390 min,0,0.00638528,0,0,0,0.00577734,0.00397305,0,0.00556517
 400 min,0,0.00263278,0,0,0,0.00647508,0.00218787,0,0.00271278
 410 min,0,0.00125414,0,0,0,0.00532266,0.00220868,0,0.00588875
 420 min,0,0.00572057,0,0,0,0.00554915,0.00386044,0,0.0054241
 430 min,0,0.00369907,0,0,0,0.00433797,0.0019558,0,0.00549164
 440 min,0,0,0,0,0,0.00551694,0.00185431,0,0.00543521
 450 min,0,0.00511758,0,0,0,0.00785124,0,0,0.0176085
 460 min,0,0.00229362,0,0,0,0.00900914,0,0,0.0176457
 470 min,0,0.0018932,0,0,0,0.00853677,0,0,0.00589763
