time,Communicating,Exception Handling,Paperwork,Maintenance of Way,Temporary Speed Restrictions,Signal Response Management,Monitoring Inside,Monitoring Outside,Planning Ahead
 0 min,0.0426467,0,0.285462,0,0,0.00750371,0.00552584,0.00365009,0.0062833
 10 min,0.0397866,0,0.331693,0,0,0.00666835,0.00510129,0.00721438,0.011838
 20 min,0.0490542,0,0.304128,0,0,0.00716065,0.00650903,0.00719452,0.00647487
 30 min,0.0248132,0.00617126,0.0582128,0.00122264,0.0121984,0.032795,0.0136826,0.017418,0.0222894
 40 min,0.0236525,0.0232981,0.032172,0.00180578,0.0092989,0.0360248,0.00912697,0.0174336,0.021807
 50 min,0.0231595,0.0110394,0.0290163,0.000504147,0.00839492,0.0306693,0.0151443,0.0224555,0.0257719
 60 min,0.0277413,0.00868407,0.0319925,0.00278357,0.0103625,0.0308615,0.0136107,0.0158587,0.0209568
 70 min,0.0215533,0.0162444,0.0409462,0.00134484,0.00964046,0.0332468,0.0077933,0.0183488,0.0213668
 80 min,0.0285565,0.0117237,0.0280061,0.00223216,0.0134688,0.0315015,0.0149566,0.0157529,0.0190973
 90 min,0.0467817,0.0117922,0.297525,0.00625159,0.000276192,0.0123697,4.58679E-5,0.00687114,0.0150308
 100 min,0.0428548,0.0124962,0.305731,0.00798103,0,0.0155149,0,0.0131485,0.00840991
 110 min,0.0444763,0,0.274247,0.00824405,0,0.0137066,0,0.00988955,0.00680106
