,Type 0,,Type 1,,Type 2,,Type 3,,Type 4,,Type 5,,Type 6,,Type 7,,Type 8,,
Time (min),Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,
0,0.0463397,0.0377423,0,0,0.301948,0.170875,0,0,0,0,0.00709385,0.016831,0.00268882,0.00801069,0.00668736,0.011495,0.0045541,0.0154809,
10,0.0473501,0.0340343,0,0,0.337382,0.171039,0,0,0,0,0.0045875,0.0110966,0.0044042,0.0107192,0.00584822,0.0112361,0.00271142,0.00933011,
20,0.0465225,0.0350576,0,0,0.328352,0.177822,0,0,0,0,0.00690613,0.013071,0.00611278,0.0143423,0.00700806,0.0109581,0.00456308,0.0163909,
30,0.0234343,0.0241897,0.00778953,0.0494587,0.0589847,0.0848062,0.000933014,0.00676602,0.00967872,0.0182209,0.028113,0.0276848,0.0106819,0.0161002,0.0170696,0.0196516,0.0128465,0.0273266,
40,0.0245563,0.0227644,0.00874764,0.0549189,0.0356302,0.0659663,0.00131292,0.0104202,0.0108395,0.0189784,0.0323828,0.0292437,0.0126844,0.0186268,0.0225535,0.019686,0.0167881,0.0258106,
50,0.0228815,0.0253742,0.00503957,0.0249446,0.0212379,0.0545815,0,0,0.0092314,0.0156202,0.0255834,0.0286249,0.0107248,0.0166381,0.0199205,0.0204817,0.0125955,0.025404,
60,0.0237324,0.0255129,0.0148527,0.0686898,0.0372078,0.0726055,0,0,0.0108095,0.0214008,0.0261123,0.0305286,0.0113258,0.0164562,0.0168671,0.0201182,0.018293,0.0304745,
70,0.0280924,0.028443,0.0158182,0.100889,0.0400203,0.0736966,0.00152486,0.0108254,0.0111031,0.0164157,0.0255491,0.0336049,0.00997997,0.0138419,0.0203828,0.0229983,0.015442,0.0289997,
80,0.0277646,0.0326391,0.0228939,0.125296,0.0347048,0.0717154,0,0,0.0090983,0.015817,0.0261652,0.0280817,0.0109941,0.0205139,0.0170156,0.0169948,0.0141481,0.0297653,
90,0.0505882,0.0348496,0.00932358,0.0932358,0.314507,0.164111,0.00546388,0.0208951,0,0,0.0121289,0.0209843,3.24249e-06,3.2425e-05,0.00999665,0.0137193,0.00434403,0.0142456,
100,0.0432,0.0351358,0.0232529,0.126518,0.298625,0.18775,0.00682832,0.0204879,0,0,0.0135381,0.020055,0,0,0.00897624,0.0109306,0.00556409,0.0174879,
110,0.04434,0.0371089,0.0252882,0.122812,0.296632,0.194367,0.0039128,0.0138137,0,0,0.0127718,0.0202926,0,0,0.0102154,0.0131511,0.00637675,0.0171294,






